time,sqNum,stnum,state_cb,sqDiff,stDiff,timeLastMsg,recentChange,MU1Cs,MU2Cs,MU3Cs,MU4Cs,Cs,consistency,threePhaseVSum,threePhaseCSum,threePhaseVMU1,MU1VoltageAngleA,MU1VoltageAngleB,MU1VoltageAngleC,threePhaseCurrentMU1,MU1CurrentAngleA,MU1CurrentAngleB,MU1CurrentAngleC,MU1Log,threePhaseVMU2,MU2VoltageAngleA,MU2VoltageAngleB,MU2VoltageAngleC,threePhaseCMU2,MU2CurrentAngleA,MU2CurrentAngleB,MU2CurrentAngleC,MU2Log,threePhaseVMU3,MU3VoltageAngleA,MU3VoltageAngleB,MU3VoltageAngleC,threePhaseCMU3,MU3CurrentAngleA,MU3CurrentAngleB,MU3CurrentAngleC,MU3Log,threePhaseVMU4,MU4VoltageAngleA,MU4VoltageAngleB,MU4VoltageAngleC,threePhaseCMU4,IED4_iA,IED4_iB,IED4_iC,MU4Log,any_relay,class
49.6,4960,0,0,0,0,0,0,0,0,0,0,0,-11.5148748465365,2.23976262102226,0.737753137901378,0.581787267589764,3.14159265358979,3.14159265358979,0,0.320629994240266,0,0,3.14159265358979,0,0.572124485971124,3.14159265358979,3.14159265358979,0,0.0451561715884974,3.14159265358979,3.14159265358979,0,0,0.554703339635329,3.14159265358979,3.14159265358979,0,0.190317267990074,0,0,3.14159265358979,0,0.459838981026042,3.14159265358979,3.14159265358979,0,0.181649704082541,-0.15533074671716,-0.0797521429897406,0.235082889828779,0,0,1
49.8,4980,0,0,0,0,0,0,0,0,0,0,0,-11.5148748465091,2.23976262102312,0.737753137901347,0.581787267589031,3.14159265358979,3.14159265358979,0,0.320629994239934,0,0,3.14159265358979,0,0.572124485971031,3.14159265358979,3.14159265358979,0,0.0451561715884237,3.14159265358979,3.14159265358979,0,0,0.554703339635713,3.14159265358979,3.14159265358979,0,0.190317267989899,0,0,3.14159265358979,0,0.415981896601766,3.14159265358979,3.14159265358979,0,0.181649704083091,-0.155330746719656,-0.0797521429881096,0.235082889829645,0,0,1
50,5000,0,0,0,0,0,0,0,0,0,0,0,-11.5148748464188,2.23976262102778,0.737753137902483,0.581787267590955,3.14159265358979,3.14159265358979,0,0.320629994241014,0,0,3.14159265358979,0,0.57212448597131,3.14159265358979,3.14159265358979,0,0.0451561715885159,3.14159265358979,3.14159265358979,0,0,0.554703339636866,3.14159265358979,3.14159265358979,0,0.190317267989899,0,0,3.14159265358979,0,0.53114752782865,3.14159265358979,3.14159265358979,0,0.181649704083055,-0.155330746721903,-0.0797521429871772,0.235082889830958,0,0,1
50.2,5020,0,0,0,0,0,0,0,0,0,0,0,-11.5148748463599,2.23976262103104,0.737753137901943,0.581787267591321,3.14159265358979,3.14159265358979,0,0.320629994240515,0,0,3.14159265358979,0,0.572124485973825,3.14159265358979,3.14159265358979,0,0.0451561715885159,3.14159265358979,3.14159265358979,0,0,0.554703339637443,3.14159265358979,3.14159265358979,0,0.190317267990004,0,0,3.14159265358979,0,0.53114752782845,3.14159265358979,3.14159265358979,0,0.181649704082908,-0.15533074672355,-0.0797521429869485,0.235082889832376,0,0,1
50.4,5040,0,0,0,0,0,0,0,0,0,0,0,-11.5148748463614,2.23976262103112,0.737753137900731,0.581787267592054,3.14159265358979,3.14159265358979,0,0.320629994240515,0,0,3.14159265358979,0,0.572124485972987,3.14159265358979,3.14159265358979,0,0.045156171588479,3.14159265358979,3.14159265358979,0,0,0.554703339637731,3.14159265358979,3.14159265358979,0,0.190317267989269,0,0,3.14159265358979,0,0.531147527828349,3.14159265358979,3.14159265358979,0,0.181649704082468,-0.155330746726709,-0.0797521429839806,0.235082889832567,0,0,1
50.6,5060,0,0,0,0,0,0,0,0,0,0,0,-11.5148748462135,2.23976262103835,0.737753137903871,0.58178726759242,3.14159265358979,3.14159265358979,0,0.320629994242593,0,0,3.14159265358979,0,0.572124485975502,3.14159265358979,3.14159265358979,0,0.045156171588562,3.14159265358979,3.14159265358979,0,0,0.554703339639268,3.14159265358979,3.14159265358979,0,0.190317267989479,0,0,3.14159265358979,0,0.531147527831159,3.14159265358979,3.14159265358979,0,0.181649704083238,-0.155330746728241,-0.0797521429839914,0.235082889834111,0,0,1
50.8,5080,0,0,0,0,0,0,0,0,0,0,0,-11.5148748463027,2.23976262103267,0.737753137899631,0.581787267591779,3.14159265358979,3.14159265358979,0,0.320629994239601,0,0,3.14159265358979,0,0.572124485973639,3.14159265358979,3.14159265358979,0,0.0451561715885804,3.14159265358979,3.14159265358979,0,0,0.554703339638499,3.14159265358979,3.14159265358979,0,0.190317267989129,0,0,3.14159265358979,0,0.531147527828751,3.14159265358979,3.14159265358979,0,0.181649704082321,-0.155330746730432,-0.079752142982375,0.235082889834685,0,0,1
51,5100,0,0,0,0,0,0,0,0,0,0,0,-11.5148748461866,2.23976262103848,0.73775313790084,0.581787267592695,3.14159265358979,3.14159265358979,0,0.320629994240682,0,0,3.14159265358979,0,0.57212448597457,3.14159265358979,3.14159265358979,0,0.0451561715886542,3.14159265358979,3.14159265358979,0,0,0.554703339639652,3.14159265358979,3.14159265358979,0,0.190317267989514,0,0,3.14159265358979,0,0.53114752783156,3.14159265358979,3.14159265358979,0,0.181649704081991,-0.155330746732427,-0.0797521429819651,0.235082889836271,0,0,1
51.2,5120,0,0,0,0,0,0,0,0,0,0,0,-11.5148748461687,2.23976262104057,0.737753137900116,0.581787267593519,3.14159265358979,3.14159265358979,0,0.320629994240349,0,0,3.14159265358979,0,0.572124485975129,3.14159265358979,3.14159265358979,0,0.0451561715885804,3.14159265358979,3.14159265358979,0,0,0.55470333963946,3.14159265358979,3.14159265358979,0,0.190317267989269,0,0,3.14159265358979,0,0.531147527832463,3.14159265358979,3.14159265358979,0,0.181649704081918,-0.15533074673458,-0.0797521429810017,0.235082889837459,0,0,1
51.4,5140,0,0,0,0,0,0,0,0,0,0,0,-11.5148748461402,2.23976262103861,0.737753137898619,0.581787267593886,3.14159265358979,3.14159265358979,0,0.32062999423985,0,0,3.14159265358979,0,0.572124485975595,3.14159265358979,3.14159265358979,0,0.0451561715884974,3.14159265358979,3.14159265358979,0,0,0.554703339639172,3.14159265358979,3.14159265358979,0,0.190317267988464,0,0,3.14159265358979,0,0.531147527829955,3.14159265358979,3.14159265358979,0,0.181649704081808,-0.155330746736759,-0.0797521429796595,0.235082889838298,0,0,1
51.6,5160,0,0,0,0,0,0,0,0,0,0,0,-11.5148748461125,2.23976262104138,0.737753137899405,0.581787267594893,3.14159265358979,3.14159265358979,0,0.3206299942401,0,0,3.14159265358979,0,0.572124485976433,3.14159265358979,3.14159265358979,0,0.0451561715885343,3.14159265358979,3.14159265358979,0,0,0.554703339638595,3.14159265358979,3.14159265358979,0,0.190317267988744,0,0,3.14159265358979,0,0.53114752783146,3.14159265358979,3.14159265358979,0,0.181649704082028,-0.155330746738961,-0.0797521429779907,0.235082889838831,0,0,1
51.8,5180,0,0,0,0,0,0,0,0,0,0,0,-11.5148748459841,2.2397626210497,0.73775313790054,0.581787267596634,3.14159265358979,3.14159265358979,0,0.320629994240682,0,0,3.14159265358979,0,0.572124485978203,3.14159265358979,3.14159265358979,0,0.0451561715887371,3.14159265358979,3.14159265358979,0,0,0.554703339641093,3.14159265358979,3.14159265358979,0,0.190317267989094,0,0,3.14159265358979,0,0.531147527833767,3.14159265358979,3.14159265358979,0,0.181649704082028,-0.155330746741301,-0.0797521429768003,0.235082889839979,0,0,1
52,5200,0,0,0,0,0,0,0,0,0,0,0,-11.5148748459006,2.23976262104937,0.737753137901301,0.581787267597367,3.14159265358979,3.14159265358979,0,0.320629994241014,0,0,3.14159265358979,0,0.572124485977737,3.14159265358979,3.14159265358979,0,0.0451561715887003,3.14159265358979,3.14159265358979,0,0,0.554703339640805,3.14159265358979,3.14159265358979,0,0.190317267989339,0,0,3.14159265358979,0,0.531147527833466,3.14159265358979,3.14159265358979,0,0.181649704082248,-0.155330746742889,-0.0797521429768318,0.235082889841599,0,0,1
52.2,5220,0,0,0,0,0,0,0,0,0,0,0,-11.5148748459843,2.2397626210527,0.737753137898667,0.581787267597367,3.14159265358979,3.14159265358979,0,0.320629994239352,0,0,3.14159265358979,0,0.572124485978855,3.14159265358979,3.14159265358979,0,0.045156171588691,3.14159265358979,3.14159265358979,0,0,0.554703339643111,3.14159265358979,3.14159265358979,0,0.190317267988744,0,0,3.14159265358979,0,0.531147527833366,3.14159265358979,3.14159265358979,0,0.181649704081881,-0.155330746745608,-0.0797521429743888,0.235082889841874,0,0,1
